Intermediate,Week,WeekStart,Qty
TSP-224,31,2026-07-27 00:00:00,0
TSP-224,32,2026-08-03 00:00:00,0
TSP-224,33,2026-08-10 00:00:00,0
TSP-224,34,2026-08-17 00:00:00,0
TSP-224,35,2026-08-24 00:00:00,0
TSP-225,19,2026-05-04 00:00:00,0
TSP-225,20,2026-05-11 00:00:00,0
TSP-225,21,2026-05-18 00:00:00,0
TSP-225,22,2026-05-25 00:00:00,0
TSP-225,23,2026-06-01 00:00:00,0
TSP-225,24,2026-06-08 00:00:00,0
TSP-225,25,2026-06-15 00:00:00,0
TSP-225,26,2026-06-22 00:00:00,0
TSP-225,27,2026-06-29 00:00:00,0
TSP-225,28,2026-07-06 00:00:00,0
TSP-225,29,2026-07-13 00:00:00,0
TSP-225,30,2026-07-20 00:00:00,0
TSP-225,31,2026-07-27 00:00:00,0
TSP-225,32,2026-08-03 00:00:00,0
TSP-225,33,2026-08-10 00:00:00,0
TSP-225,34,2026-08-17 00:00:00,0
TSP-225,35,2026-08-24 00:00:00,0
TSP-360,19,2026-05-04 00:00:00,0
TSP-360,20,2026-05-11 00:00:00,0
TSP-360,21,2026-05-18 00:00:00,0
TSP-360,22,2026-05-25 00:00:00,0
TSP-360,23,2026-06-01 00:00:00,0
TSP-360,24,2026-06-08 00:00:00,0
TSP-360,25,2026-06-15 00:00:00,0
TSP-360,26,2026-06-22 00:00:00,0
TSP-360,27,2026-06-29 00:00:00,0
TSP-360,28,2026-07-06 00:00:00,0
TSP-360,29,2026-07-13 00:00:00,0
TSP-360,30,2026-07-20 00:00:00,0
TSP-360,31,2026-07-27 00:00:00,0
TSP-360,32,2026-08-03 00:00:00,0
TSP-360,33,2026-08-10 00:00:00,0
TSP-360,34,2026-08-17 00:00:00,0
TSP-360,35,2026-08-24 00:00:00,0
TSP-367,19,2026-05-04 00:00:00,0
TSP-367,20,2026-05-11 00:00:00,0
TSP-367,21,2026-05-18 00:00:00,0
TSP-367,22,2026-05-25 00:00:00,0
TSP-367,23,2026-06-01 00:00:00,0
TSP-367,24,2026-06-08 00:00:00,0
TSP-367,25,2026-06-15 00:00:00,0
TSP-367,26,2026-06-22 00:00:00,0
TSP-367,27,2026-06-29 00:00:00,0
TSP-367,28,2026-07-06 00:00:00,0
TSP-367,29,2026-07-13 00:00:00,0
TSP-367,30,2026-07-20 00:00:00,0
TSP-367,31,2026-07-27 00:00:00,0
TSP-367,32,2026-08-03 00:00:00,0
TSP-367,33,2026-08-10 00:00:00,0
TSP-367,34,2026-08-17 00:00:00,0
TSP-367,35,2026-08-24 00:00:00,0
TSP-369,19,2026-05-04 00:00:00,0
TSP-369,20,2026-05-11 00:00:00,0
TSP-369,21,2026-05-18 00:00:00,0
TSP-369,22,2026-05-25 00:00:00,0
TSP-369,23,2026-06-01 00:00:00,0
TSP-369,24,2026-06-08 00:00:00,0
TSP-369,25,2026-06-15 00:00:00,0
TSP-369,26,2026-06-22 00:00:00,0
TSP-369,27,2026-06-29 00:00:00,0
TSP-369,28,2026-07-06 00:00:00,0
TSP-369,29,2026-07-13 00:00:00,0
TSP-369,30,2026-07-20 00:00:00,0
TSP-369,31,2026-07-27 00:00:00,0
TSP-369,32,2026-08-03 00:00:00,0
TSP-369,33,2026-08-10 00:00:00,0
TSP-369,34,2026-08-17 00:00:00,0
TSP-369,35,2026-08-24 00:00:00,0
TSP-399,19,2026-05-04 00:00:00,0
TSP-399,20,2026-05-11 00:00:00,0
TSP-399,21,2026-05-18 00:00:00,0
TSP-399,22,2026-05-25 00:00:00,0
TSP-399,23,2026-06-01 00:00:00,0
TSP-399,24,2026-06-08 00:00:00,0
TSP-399,25,2026-06-15 00:00:00,0
TSP-399,26,2026-06-22 00:00:00,0
TSP-399,27,2026-06-29 00:00:00,0
TSP-399,28,2026-07-06 00:00:00,0
TSP-399,29,2026-07-13 00:00:00,0
TSP-399,30,2026-07-20 00:00:00,0
TSP-399,31,2026-07-27 00:00:00,0
TSP-399,32,2026-08-03 00:00:00,0
TSP-399,33,2026-08-10 00:00:00,0
TSP-399,34,2026-08-17 00:00:00,0
TSP-399,35,2026-08-24 00:00:00,0
TSP-1555,19,2026-05-04 00:00:00,0
TSP-1555,20,2026-05-11 00:00:00,0
TSP-1555,21,2026-05-18 00:00:00,0
TSP-1555,22,2026-05-25 00:00:00,0
TSP-1555,23,2026-06-01 00:00:00,0
TSP-1555,24,2026-06-08 00:00:00,0
TSP-1555,25,2026-06-15 00:00:00,0
TSP-1555,26,2026-06-22 00:00:00,0
TSP-1555,27,2026-06-29 00:00:00,0
TSP-1555,28,2026-07-06 00:00:00,0
TSP-1555,29,2026-07-13 00:00:00,0
TSP-1555,30,2026-07-20 00:00:00,0
TSP-1555,31,2026-07-27 00:00:00,0
TSP-1555,32,2026-08-03 00:00:00,0
TSP-1555,33,2026-08-10 00:00:00,0
TSP-1555,34,2026-08-17 00:00:00,0
TSP-1555,35,2026-08-24 00:00:00,0
TSP-1559,19,2026-05-04 00:00:00,0
TSP-1559,20,2026-05-11 00:00:00,0
TSP-1559,21,2026-05-18 00:00:00,0
TSP-1559,22,2026-05-25 00:00:00,0
TSP-1559,23,2026-06-01 00:00:00,0
TSP-1559,24,2026-06-08 00:00:00,0
TSP-1559,25,2026-06-15 00:00:00,0
TSP-1559,26,2026-06-22 00:00:00,0
TSP-1559,27,2026-06-29 00:00:00,0
TSP-1559,28,2026-07-06 00:00:00,0
TSP-1559,29,2026-07-13 00:00:00,0
TSP-1559,30,2026-07-20 00:00:00,0
TSP-1559,31,2026-07-27 00:00:00,0
TSP-1559,32,2026-08-03 00:00:00,0
TSP-1559,33,2026-08-10 00:00:00,0
TSP-1559,34,2026-08-17 00:00:00,0
TSP-1559,35,2026-08-24 00:00:00,0
TSP-1499,19,2026-05-04 00:00:00,0
TSP-1499,20,2026-05-11 00:00:00,0
TSP-1499,21,2026-05-18 00:00:00,4.790816326530612
TSP-1499,22,2026-05-25 00:00:00,0
TSP-1499,23,2026-06-01 00:00:00,0
TSP-1499,24,2026-06-08 00:00:00,0
TSP-1499,25,2026-06-15 00:00:00,0
TSP-1499,26,2026-06-22 00:00:00,0
TSP-1499,27,2026-06-29 00:00:00,5.999999999999999
TSP-1499,28,2026-07-06 00:00:00,0
TSP-1499,29,2026-07-13 00:00:00,0
TSP-1499,30,2026-07-20 00:00:00,0
TSP-1499,31,2026-07-27 00:00:00,0
TSP-1499,32,2026-08-03 00:00:00,2.9999999999999996
TSP-1499,33,2026-08-10 00:00:00,0
TSP-1499,34,2026-08-17 00:00:00,0
TSP-1499,35,2026-08-24 00:00:00,0
TSP-1558,19,2026-05-04 00:00:00,0
TSP-1558,20,2026-05-11 00:00:00,0
TSP-1558,21,2026-05-18 00:00:00,3.193877551020408
TSP-1558,22,2026-05-25 00:00:00,0
TSP-1558,23,2026-06-01 00:00:00,0
TSP-1558,24,2026-06-08 00:00:00,0
TSP-1558,25,2026-06-15 00:00:00,0
TSP-1558,26,2026-06-22 00:00:00,0
TSP-1558,27,2026-06-29 00:00:00,4
TSP-1558,28,2026-07-06 00:00:00,0
TSP-1558,29,2026-07-13 00:00:00,0
TSP-1558,30,2026-07-20 00:00:00,0
TSP-1558,31,2026-07-27 00:00:00,0
TSP-1558,32,2026-08-03 00:00:00,2
TSP-1558,33,2026-08-10 00:00:00,0
TSP-1558,34,2026-08-17 00:00:00,0
TSP-1558,35,2026-08-24 00:00:00,0
TSP-544,19,2026-05-04 00:00:00,0
TSP-544,20,2026-05-11 00:00:00,0
TSP-544,21,2026-05-18 00:00:00,0
TSP-544,22,2026-05-25 00:00:00,0
TSP-544,23,2026-06-01 00:00:00,0
TSP-544,24,2026-06-08 00:00:00,0
TSP-544,25,2026-06-15 00:00:00,0
TSP-544,26,2026-06-22 00:00:00,0
TSP-544,27,2026-06-29 00:00:00,0
TSP-544,28,2026-07-06 00:00:00,0
TSP-544,29,2026-07-13 00:00:00,0
TSP-544,30,2026-07-20 00:00:00,0
TSP-544,31,2026-07-27 00:00:00,0
TSP-544,32,2026-08-03 00:00:00,0
TSP-544,33,2026-08-10 00:00:00,0
TSP-544,34,2026-08-17 00:00:00,0
TSP-544,35,2026-08-24 00:00:00,0
TSP-558,19,2026-05-04 00:00:00,0
TSP-558,20,2026-05-11 00:00:00,0
TSP-558,21,2026-05-18 00:00:00,0
TSP-558,22,2026-05-25 00:00:00,0
TSP-558,23,2026-06-01 00:00:00,0
TSP-558,24,2026-06-08 00:00:00,0
TSP-558,25,2026-06-15 00:00:00,0
TSP-558,26,2026-06-22 00:00:00,0
TSP-558,27,2026-06-29 00:00:00,0
TSP-558,28,2026-07-06 00:00:00,0
TSP-558,29,2026-07-13 00:00:00,0
TSP-558,30,2026-07-20 00:00:00,0
TSP-558,31,2026-07-27 00:00:00,0
TSP-558,32,2026-08-03 00:00:00,0
TSP-558,33,2026-08-10 00:00:00,0
TSP-558,34,2026-08-17 00:00:00,0
TSP-558,35,2026-08-24 00:00:00,0
TSP-618,19,2026-05-04 00:00:00,0
TSP-618,20,2026-05-11 00:00:00,0
TSP-618,21,2026-05-18 00:00:00,0
TSP-618,22,2026-05-25 00:00:00,0
TSP-618,23,2026-06-01 00:00:00,0
TSP-618,24,2026-06-08 00:00:00,0
TSP-618,25,2026-06-15 00:00:00,0
TSP-618,26,2026-06-22 00:00:00,0
TSP-618,27,2026-06-29 00:00:00,0
TSP-618,28,2026-07-06 00:00:00,0
TSP-618,29,2026-07-13 00:00:00,0
TSP-618,30,2026-07-20 00:00:00,0
TSP-618,31,2026-07-27 00:00:00,0
TSP-618,32,2026-08-03 00:00:00,0
TSP-618,33,2026-08-10 00:00:00,0
TSP-618,34,2026-08-17 00:00:00,0
TSP-618,35,2026-08-24 00:00:00,0
TSP-620,19,2026-05-04 00:00:00,0
TSP-620,20,2026-05-11 00:00:00,0
TSP-620,21,2026-05-18 00:00:00,0
TSP-620,22,2026-05-25 00:00:00,0
TSP-620,23,2026-06-01 00:00:00,0
TSP-620,24,2026-06-08 00:00:00,0
TSP-620,25,2026-06-15 00:00:00,0
TSP-620,26,2026-06-22 00:00:00,0
TSP-620,27,2026-06-29 00:00:00,0
TSP-620,28,2026-07-06 00:00:00,0
TSP-620,29,2026-07-13 00:00:00,0
TSP-620,30,2026-07-20 00:00:00,0
TSP-620,31,2026-07-27 00:00:00,0
TSP-620,32,2026-08-03 00:00:00,0
TSP-620,33,2026-08-10 00:00:00,0
TSP-620,34,2026-08-17 00:00:00,0
TSP-620,35,2026-08-24 00:00:00,0
TSP-623,19,2026-05-04 00:00:00,0
TSP-623,20,2026-05-11 00:00:00,0
TSP-623,21,2026-05-18 00:00:00,0
TSP-623,22,2026-05-25 00:00:00,0
TSP-623,23,2026-06-01 00:00:00,0
TSP-623,24,2026-06-08 00:00:00,0
TSP-623,25,2026-06-15 00:00:00,0
TSP-623,26,2026-06-22 00:00:00,0
TSP-623,27,2026-06-29 00:00:00,0
TSP-623,28,2026-07-06 00:00:00,0
TSP-623,29,2026-07-13 00:00:00,0
