RM_Code,PO_No,Confirmed_Qty,Latest_ETA,Received_Date,Status
9RN,PO066260,5291,2025-11-26,2025-12-01,TTAF Stock
0JN,PO066261,19008,2025-12-03,2025-12-08,TTAF Stock
ABN,PO066512,1408,2025-11-26,2025-12-01,TTAF Stock
YAN,PO066512,1386,2025-11-26,2025-12-01,TTAF Stock
KEJ,PO066460,1620,2025-11-30,2025-12-05,TTAF Stock
JEJ,PO066460,874,2025-11-30,2025-12-05,TTAF Stock
CHEM-1250,PO066524,75,2025-12-15,2025-12-23,TTAF Stock
CHEM-1400,PO066524,400,2025-12-15,2025-12-23,TTAF Stock
CHEM-1570,PO066524,18,2025-12-15,2025-12-23,TTAF Stock
CHEM-1670,PO066524,360,2025-12-15,2025-12-23,TTAF Stock
CHEM-1700,PO066524,60,2025-12-15,2025-12-23,TTAF Stock
CHEM-1660,PO066513,135,2025-12-15,2025-12-19,TTAF Stock
CHEM-1420,PO066524,240,2025-12-15,2025-12-23,TTAF Stock
CHEM-1530,PO066524,2100,2025-12-15,2025-12-23,TTAF Stock
CHEM-1600,PO066524,425,2025-12-15,2025-12-23,TTAF Stock
CHEM-1540,PO066524,2500,2025-12-15,2025-12-23,TTAF Stock
CHEM-1720,PO066524,1200,2025-12-15,2025-12-23,TTAF Stock
CHEM-1280,PO066513,1000,2025-12-15,2025-12-19,TTAF Stock
CHEM-1440,PO066524,150,2025-12-15,2025-12-23,TTAF Stock
CHEM-1240,PO066524,440,2025-12-15,2025-12-23,TTAF Stock
4HL,PO066428,2400,2026-01-13,2026-01-21,TTAF Stock
4HL,PO066428,9120,2025-12-28,2026-01-08,TTAF Stock
4HL,PO066428,9600,2026-01-13,2026-01-20,TTAF Stock
4HL,PO066428,9600,2026-01-20,2026-01-27,TTAF Stock
4HL,PO066428,9600,2026-01-07,2026-01-09,TTAF Stock
1EK,PO066428,3840,2025-11-21,,TTAF Stock
1EK,PO066428,5760,2026-01-13,2026-01-20,TTAF Stock
1EK,PO066428,9600,2025-12-30,2026-01-10,TTAF Stock
1EK,PO066428,9600,2026-01-07,2026-01-09,TTAF Stock
1EK,PO066428,4800,2026-01-28,2026-02-03,TTAF Stock
7CL,PO066428,8100,2026-01-13,2026-01-21,TTAF Stock
9RN,PO066528,21274,2025-12-27,2026-01-08,TTAF Stock
9RN,PO066528,9702,2025-12-27,2026-01-08,TTAF Stock
0JN,PO066525,18609,2026-01-01,,TTAF Stock
CHEM-1250,PO066734,100,2026-01-05,2026-01-15,TTAF Stock
CHEM-1200,PO066734,25,2026-01-05,2026-01-15,TTAF Stock
CHEM-1570,PO066734,36,2026-01-05,2026-01-15,TTAF Stock
CHEM-1670,PO066734,180,2026-01-05,2026-01-15,TTAF Stock
CHEM-1700,PO066734,90,2026-01-05,2026-01-15,TTAF Stock
CHEM-1660,,60,2026-01-05,2026-01-15,TTAF Stock
CHEM-1420,PO066734,240,2026-01-05,2026-01-15,TTAF Stock
CHEM-1530,PO066734,1400,2026-01-05,2026-01-15,TTAF Stock
CHEM-1600,PO066734,250,2026-01-05,2026-01-15,TTAF Stock
CHEM-1540,PO066734,5000,2026-01-05,2026-01-15,TTAF Stock
CHEM-1720,PO066734,1920,2026-01-05,2026-01-15,TTAF Stock
CHEM-1280,,1000,2026-01-05,2026-01-15,TTAF Stock
CHEM-1440,PO066734,200,2026-01-05,2026-01-15,TTAF Stock
CHEM-1240,PO066734,660,2026-01-05,2026-01-15,TTAF Stock
CHEM-1830,PO066761,150,2026-01-05,2026-01-15,TTAF Stock
CHEM-1100,,300,2026-01-05,2026-01-15,TTAF Stock
4HL,,9600,2026-01-26,2026-01-29,TTAF Stock
4HL,,17280,2026-02-16,2026-02-17,TTAF Stock
4HL,,9600,2026-02-03,2026-02-09,TTAF Stock
4HL,,1920,2026-02-16,2026-02-16,TTAF Stock
4HL,,5280,2026-03-06,2026-03-11,TTAF Stock
4HL,,365,2026-02-16,2026-02-17,TTAF Stock
1EK,,7200,2026-02-16,2026-02-16,TTAF Stock
